question,options,concat,district,region_name,region_area,district_area,russia_area,region_id,region_name_latin,question_eng,concat_eng
Уральский федеральный округ,0,Уральский федеральный округ0,Уральский федеральный округ,Курганская область,71488,1818497,17098265,1,Kurgan Oblast,Ural Federal District,Ural Federal District0
Уральский федеральный округ,1,Уральский федеральный округ1,Уральский федеральный округ,Свердловская область,194307,1818497,17098265,72,Sverdlovsk Oblast,Ural Federal District,Ural Federal District1
Уральский федеральный округ,2,Уральский федеральный округ2,Уральский федеральный округ,Тюменская область без ХМАО и ЯНАО,160122,1818497,17098265,20,Tyumen Oblast,Ural Federal District,Ural Federal District2
Уральский федеральный округ,3,Уральский федеральный округ3,Уральский федеральный округ,Ханты-Мансийский автономный округ — Югра,534801,1818497,17098265,71,Khanty–Mansi Autonomous Okrug – Yugra,Ural Federal District,Ural Federal District3
Уральский федеральный округ,4,Уральский федеральный округ4,Уральский федеральный округ,Челябинская область,88529,1818497,17098265,24,Chelyabinsk Oblast,Ural Federal District,Ural Federal District4
Уральский федеральный округ,5,Уральский федеральный округ5,Уральский федеральный округ,Ямало-Ненецкий автономный округ,769250,1818497,17098265,70,Yamalo-Nenets Autonomous Okrug,Ural Federal District,Ural Federal District5
0,0,0,0,0,0,0,0,0,Not yet ✖,Ural Federal District,0
Центральный федеральный округ (1/2),0,Центральный федеральный округ (1/2)0,Центральный федеральный округ,Белгородская область,27134,650205,17098265,26,Belgorod Oblast,Central Federal District (1/2),Central Federal District (1/2)0
Центральный федеральный округ (1/2),1,Центральный федеральный округ (1/2)1,Центральный федеральный округ,Брянская область,34857,650205,17098265,27,Bryansk Oblast,Central Federal District (1/2),Central Federal District (1/2)1
Центральный федеральный округ (1/2),2,Центральный федеральный округ (1/2)2,Центральный федеральный округ,Владимирская область,29084,650205,17098265,22,Vladimir Oblast,Central Federal District (1/2),Central Federal District (1/2)2
Центральный федеральный округ (1/2),3,Центральный федеральный округ (1/2)3,Центральный федеральный округ,Воронежская область,52216,650205,17098265,16,Voronezh Oblast,Central Federal District (1/2),Central Federal District (1/2)3
Центральный федеральный округ (1/2),4,Центральный федеральный округ (1/2)4,Центральный федеральный округ,Ивановская область,21437,650205,17098265,57,Ivanovo Oblast,Central Federal District (1/2),Central Federal District (1/2)4
Центральный федеральный округ (1/2),5,Центральный федеральный округ (1/2)5,Центральный федеральный округ,Калужская область,29777,650205,17098265,64,Kaluga Oblast,Central Federal District (1/2),Central Federal District (1/2)5
Центральный федеральный округ (1/2),6,Центральный федеральный округ (1/2)6,Центральный федеральный округ,Костромская область,60211,650205,17098265,53,Kostroma Oblast,Central Federal District (1/2),Central Federal District (1/2)6
Центральный федеральный округ (1/2),7,Центральный федеральный округ (1/2)7,Центральный федеральный округ,Курская область,29997,650205,17098265,5,Kursk Oblast,Central Federal District (1/2),Central Federal District (1/2)7
Центральный федеральный округ (1/2),8,Центральный федеральный округ (1/2)8,Центральный федеральный округ,Липецкая область,24047,650205,17098265,6,Lipetsk Oblast,Central Federal District (1/2),Central Federal District (1/2)8
0,0,0,0,0,0,0,0,0,Not yet ✖,Central Federal District (1/2),0
Центральный федеральный округ (2/2),0,Центральный федеральный округ (2/2)0,Центральный федеральный округ,Москва,2561,650205,17098265,42,Moscow,Central Federal District (2/2),Central Federal District (2/2)0
Центральный федеральный округ (2/2),1,Центральный федеральный округ (2/2)1,Центральный федеральный округ,Московская область,44329,650205,17098265,23,Moscow Oblast,Central Federal District (2/2),Central Federal District (2/2)1
Центральный федеральный округ (2/2),2,Центральный федеральный округ (2/2)2,Центральный федеральный округ,Орловская область,24652,650205,17098265,51,Oryol Oblast,Central Federal District (2/2),Central Federal District (2/2)2
Центральный федеральный округ (2/2),3,Центральный федеральный округ (2/2)3,Центральный федеральный округ,Рязанская область,39605,650205,17098265,74,Ryazan Oblast,Central Federal District (2/2),Central Federal District (2/2)3
Центральный федеральный округ (2/2),4,Центральный федеральный округ (2/2)4,Центральный федеральный округ,Смоленская область,49779,650205,17098265,58,Smolensk Oblast,Central Federal District (2/2),Central Federal District (2/2)4
Центральный федеральный округ (2/2),5,Центральный федеральный округ (2/2)5,Центральный федеральный округ,Тамбовская область,34462,650205,17098265,73,Tambov Oblast,Central Federal District (2/2),Central Federal District (2/2)5
Центральный федеральный округ (2/2),6,Центральный федеральный округ (2/2)6,Центральный федеральный округ,Тверская область,84201,650205,17098265,54,Tver Oblast,Central Federal District (2/2),Central Federal District (2/2)6
Центральный федеральный округ (2/2),7,Центральный федеральный округ (2/2)7,Центральный федеральный округ,Тульская область,25679,650205,17098265,65,Tula Oblast,Central Federal District (2/2),Central Federal District (2/2)7
Центральный федеральный округ (2/2),8,Центральный федеральный округ (2/2)8,Центральный федеральный округ,Ярославская область,36177,650205,17098265,66,Yaroslavl Oblast,Central Federal District (2/2),Central Federal District (2/2)8
0,0,0,0,0,0,0,0,0,Not yet ✖,Central Federal District (2/2),0
Южный федеральный округ,0,Южный федеральный округ0,Южный федеральный округ,Астраханская область,49024,420876,17098265,33,Astrakhan Oblast,Southern Federal District,Southern Federal District0
Южный федеральный округ,1,Южный федеральный округ1,Южный федеральный округ,Волгоградская область,112877,420876,17098265,29,Volgograd Oblast,Southern Federal District,Southern Federal District1
Южный федеральный округ,2,Южный федеральный округ2,Южный федеральный округ,Краснодарский край,75485,420876,17098265,39,Krasnodar Krai,Southern Federal District,Southern Federal District2
Южный федеральный округ,3,Южный федеральный округ3,Южный федеральный округ,Республика Адыгея,7792,420876,17098265,37,Republic of Adygea,Southern Federal District,Southern Federal District3
Южный федеральный округ,4,Южный федеральный округ4,Южный федеральный округ,Республика Калмыкия,74731,420876,17098265,38,Republic of Kalmykia,Southern Federal District,Southern Federal District4
Южный федеральный округ,5,Южный федеральный округ5,Южный федеральный округ,Ростовская область,100967,420876,17098265,40,Rostov Oblast,Southern Federal District,Southern Federal District5
0,0,0,0,0,0,0,0,0,Not yet ✖,Southern Federal District,0
